Topic,Words,Frequency,Class
97,"nation, assembly, annan, betancur, cambodia",0.0020614692653673165,the new york times
98,"tunisia, tunisian, tunis, morocco, niqab",0.0022488755622188904,the new york times
99,"thatcher, treaty, reagan, news, british",0.002623688155922039,the new york times
100,"ashcroft, kidd, attorney, justice, department",0.0018740629685157421,the new york times
101,"republican, democrat, ad, garbarino, race",0.002623688155922039,the new york times
102,"boston, tsarnaev, marathon, tamerlan, fbi",0.001686656671664168,the new york times
103,"brussels, belgium, belgian, abdeslam, forensic",0.0024362818590704647,the new york times
104,"hospital, exercise, biological, chemical, emergency",0.0014992503748125937,the new york times
105,"olympic, olympics, game, athlete, sherwood",0.0014992503748125937,the new york times
106,"insurance, insurer, coverage, house, senate",0.0024362818590704647,the new york times
107,"child, disaster, school, cummock, victim",0.001686656671664168,the new york times
108,"obama, brennan, house, white, bush",0.0024362818590704647,the new york times
109,"bulgarian, agca, bulgaria, pope, antonov",0.0022488755622188904,the new york times
110,"japan, japanese, abe, tokyo, statue",0.0018740629685157421,the new york times
111,"al, masri, qaeda, iran, treasury",0.0014992503748125937,the new york times
112,"facebook, content, video, youtube, google",0.0022488755622188904,the new york times
113,"africa, mali, african, troop, senegal",0.0011244377811094452,the new york times
114,"international, law, jurisdiction, court, state",0.0020614692653673165,the new york times
115,"rusesabagina, rwanda, rwandan, kagame, kigali",0.0020614692653673165,the new york times
116,"hassoun, kiareldeen, immigration, judge, hamide",0.0020614692653673165,the new york times
117,"assad, peace, clinton, syria, christopher",0.0013118440779610195,the new york times
118,"carlos, sudan, france, pasqua, gabeira",0.001686656671664168,the new york times
119,"lebanon, reagan, marine, syrian, neill",0.0018740629685157421,the new york times
120,"cheney, obama, guantanamo, bush, vice",0.001686656671664168,the new york times
121,"marine, air, force, training, military",0.0011244377811094452,the new york times
